Distance_(microns),Gray_Value
238.890,35.4582
239.251,35.5773
239.611,37.2003
239.971,38.3448
240.332,39.7085
240.692,38.9645
241.052,39.8995
241.413,42.2668
241.773,45.1156
242.133,47.4601
242.494,50.4056
242.854,53.0906
243.214,55.6948
243.575,56.5754
243.935,58.3554
244.295,60.1996
244.656,58.7609
245.016,58.2904
245.376,57.4578
245.737,57.0473
246.097,57.9244
246.457,56.3161
246.817,56.2397
247.178,56.3333
247.538,56.9922
247.898,58.1775
248.259,58.6104
248.619,57.8615
248.979,55.7837
249.340,54.2796
249.700,52.7071
250.060,53.9350
250.421,53.7955
250.781,54.4703
251.141,54.3284
251.502,54.3095
251.862,55.1494
252.222,56.4252
252.583,58.4622
252.943,58.1749
253.303,56.7354
253.663,55.9033
254.024,55.6869
254.384,54.8111
254.744,51.7842
255.105,52.6644
255.465,52.5567
255.825,51.0968
256.186,48.9763
256.546,48.7728
256.906,48.4644
257.267,49.1984
257.627,50.3513
257.987,52.7294
258.348,54.9046
258.708,57.1207
259.068,58.1707
259.429,59.6605
259.789,61.9606
260.149,61.1686
260.510,60.8664
260.870,59.2784
261.230,58.4956
261.590,59.0000
261.951,59.4335
262.311,58.7373
262.671,56.1844
263.032,53.2174
263.392,51.6615
263.752,51.1418
264.113,49.9438
264.473,49.2151
264.833,48.9167
265.194,53.0843
265.554,57.2083
265.914,61.2215
266.275,66.3260
266.635,71.6098
266.995,70.8681
267.356,68.3028
267.716,62.5037
268.076,57.7147
268.436,54.3704
268.797,52.0422
269.157,49.5625
269.517,48.3439
269.878,47.8571
270.238,48.4178
270.598,47.6612
270.959,48.6534
271.319,49.7123
271.679,50.9819
272.040,50.6854
272.400,51.5590
272.760,52.9652
273.121,53.2036
273.481,54.1408
273.841,55.3140
274.202,55.4131
274.562,56.1979
274.922,58.0476
275.283,58.8512
275.643,61.6379
276.003,62.6986
276.363,64.1201
276.724,64.7649
277.084,65.8423
277.444,65.2608
277.805,63.8458
278.165,62.8489
278.525,62.3456
278.886,61.7379
279.246,61.2590
279.606,59.3936
279.967,56.2126
280.327,53.0523
280.687,53.6982
281.048,54.9148
281.408,55.9232
281.768,56.5960
282.129,56.4590
282.489,58.0249
282.849,58.6063
283.210,58.6537
283.570,59.3172
283.930,59.8800
284.290,59.1485
284.651,59.4707
285.011,60.4160
285.371,61.7685
285.732,61.9108
286.092,57.7443
286.452,56.6786
286.813,54.0711
287.173,52.0123
287.533,50.8854
287.894,52.0994
288.254,54.4865
288.614,58.1580
288.975,59.5384
289.335,60.3281
289.695,60.0979
290.056,60.1091
290.416,59.2372
290.776,57.9305
291.137,59.5044
291.497,61.9764
291.857,60.6887
292.217,57.7084
292.578,54.0356
292.938,52.0401
293.298,52.1672
293.659,52.3500
294.019,54.5297
294.379,58.1174
294.740,62.4007
295.100,66.1887
295.460,67.6484
295.821,68.2792
296.181,67.1036
296.541,65.4357
296.902,64.9138
297.262,63.4513
297.622,62.1461
297.983,59.2438
298.343,59.5143
298.703,60.6439
299.064,61.5017
299.424,63.2984
299.784,68.7544
300.144,74.5539
300.505,79.8438
300.865,84.3208
301.225,87.0885
301.586,87.9214
301.946,90.7463
302.306,90.2539
302.667,91.6808
303.027,91.3035
303.387,91.0005
303.748,91.0539
304.108,89.0801
304.468,85.2292
304.829,80.9132
305.189,75.2520
305.549,68.5259
305.910,64.4708
306.270,63.7945
306.630,59.4568
306.990,56.9793
307.351,57.5058
307.711,55.7477
308.071,51.4243
308.432,47.6844
308.792,47.5246
309.152,48.3206
309.513,50.1165
309.873,53.0750
310.233,53.3582
310.594,57.3846
310.954,60.0129
311.314,61.2294
311.675,62.5310
312.035,63.2047
312.395,65.6409
312.756,67.4716
313.116,68.7154
313.476,68.9668
313.837,69.2558
314.197,68.0499
314.557,66.7560
314.917,64.8842
315.278,62.1366
315.638,60.6689
315.998,59.4052
316.359,56.9072
316.719,54.8835
317.079,53.2718
317.440,52.5764
317.800,52.2140
318.160,51.8843
318.521,54.3520
318.881,57.2896
319.241,56.8888
319.602,55.2978
319.962,53.0465
320.322,51.2334
320.683,50.1917
321.043,47.6360
321.403,46.7622
321.763,47.2354
322.124,48.8778
322.484,48.3595
322.844,47.0093
323.205,48.2310
323.565,48.4418
323.925,47.3241
324.286,46.5242
324.646,45.6355
325.006,46.9754
325.367,48.5982
325.727,50.7160
326.087,52.7966
326.448,55.8966
326.808,57.8790
327.168,57.5580
327.529,56.9388
327.889,56.0179
328.249,54.8873
328.610,55.1617
328.970,56.9717
329.330,57.3330
329.690,59.4182
330.051,62.0838
330.411,65.5518
330.771,68.2486
331.132,70.1675
331.492,69.0394
331.852,67.7144
332.213,65.2767
332.573,64.1154
332.933,62.4292
333.294,61.8828
333.654,62.9750
334.014,66.2826
334.375,68.6752
334.735,72.6628
335.095,76.0868
335.456,78.6905
335.816,80.0038
336.176,78.0092
336.536,73.3134
336.897,66.9495
337.257,61.0211
337.617,56.0044
337.978,53.5851
338.338,53.2751
338.698,53.7203
339.059,53.7432
339.419,56.4953
339.779,56.1832
340.140,59.0227
340.500,61.0328
340.860,63.1542
341.221,65.4826
341.581,65.8852
341.941,66.0000
342.302,64.9338
342.662,63.1344
343.022,59.8229
343.383,58.4003
343.743,57.7870
344.103,57.4672
344.464,57.1862
344.824,58.4231
345.184,56.5870
345.544,55.0855
345.905,52.7055
346.265,53.0432
346.625,52.3295
346.986,53.6939
347.346,54.4872
347.706,55.3333
348.067,55.1628
348.427,53.9102
348.787,53.2054
349.148,52.4025
349.508,51.9073
349.868,49.2106
350.229,47.1034
350.589,46.1942
350.949,43.7030
351.310,40.8868
351.670,40.5667
352.030,40.1877
352.390,41.0317
352.751,40.6997
353.111,40.5249
353.471,38.9619
353.832,37.8018
354.192,38.6661
354.552,39.2459
354.913,40.1729
355.273,40.5554
355.633,41.4817
355.994,44.6572
356.354,47.2835
356.714,51.4426
357.075,55.5813
357.435,59.1310
357.795,58.9553
358.156,61.4009
358.516,61.5272
358.876,60.0913
359.237,58.5648
359.597,57.6773
359.957,57.6580
360.317,59.4175
360.678,60.1369
361.038,59.6977
361.398,58.4529
361.759,58.7738
362.119,59.3112
