Distance_(microns),Gray_Value
206.102,48.0860
206.462,47.4630
206.822,46.6503
207.183,46.9383
207.543,46.0846
207.903,46.5682
208.263,46.6990
208.624,46.5697
208.984,45.3384
209.344,45.7770
209.705,44.9626
210.065,44.0620
210.425,43.9861
210.786,43.4418
211.146,43.5251
211.506,42.6119
211.867,42.5645
212.227,43.1924
212.587,43.5246
212.948,43.0364
213.308,43.5732
213.668,43.8736
214.029,43.9178
214.389,44.1032
214.749,42.8995
215.110,43.3124
215.470,43.4729
215.830,43.8383
216.190,43.9194
216.551,43.9994
216.911,44.2613
217.271,44.8448
217.632,44.5294
217.992,45.6667
218.352,45.6667
218.713,45.5884
219.073,45.8541
219.433,47.1546
219.794,46.8616
220.154,46.9510
220.514,47.1663
220.875,46.8700
221.235,46.4801
221.595,46.5930
221.956,46.8842
222.316,46.0839
222.676,46.2859
223.037,47.3015
223.397,46.9681
223.757,46.8423
224.117,46.4539
224.478,45.4348
224.838,44.8085
225.198,41.8779
225.559,43.6089
225.919,44.0429
226.279,44.3157
226.640,44.6856
227.000,44.6893
227.360,45.3543
227.721,45.7762
228.081,46.3434
228.441,46.4463
228.802,45.2512
229.162,45.4585
229.522,44.4070
229.883,44.5708
230.243,44.7018
230.603,45.1764
230.963,44.9224
231.324,45.2810
231.684,45.4863
232.044,46.9292
232.405,46.6780
232.765,46.3453
233.125,46.2411
233.486,45.9464
233.846,46.1002
234.206,44.9198
234.567,43.9744
234.927,42.5302
235.287,44.2468
235.648,44.0627
236.008,43.9018
236.368,45.1604
236.729,45.8140
237.089,45.1154
237.449,45.2539
237.810,44.5685
238.170,44.4072
238.530,43.7015
238.890,43.3236
239.251,43.3119
239.611,42.2239
239.971,42.1508
240.332,42.7056
240.692,43.3429
241.052,42.9020
241.413,43.0947
241.773,43.7473
242.133,44.6884
242.494,44.6296
242.854,45.2598
243.214,46.1276
243.575,47.1302
243.935,48.2544
244.295,48.9096
244.656,49.0002
245.016,50.3743
245.376,50.2517
245.737,50.3399
246.097,50.6731
246.457,50.5993
246.817,51.6972
247.178,51.6429
247.538,50.9189
247.898,50.9313
248.259,51.0177
248.619,49.9847
248.979,49.4475
249.340,48.8995
249.700,48.3558
250.060,47.7957
250.421,47.1782
250.781,46.5292
251.141,47.2680
251.502,48.7503
251.862,47.6448
252.222,47.1714
252.583,46.7385
252.943,48.5197
253.303,47.5466
253.663,47.0287
254.024,47.9112
254.384,49.0710
254.744,48.3617
255.105,47.0980
255.465,48.0170
255.825,46.8851
256.186,46.5178
256.546,47.0137
256.906,45.2569
257.267,47.0599
257.627,46.2430
257.987,44.9923
258.348,45.6693
258.708,46.8872
259.068,46.8781
259.429,48.3453
259.789,47.9660
260.149,48.6355
260.510,47.2181
260.870,47.5263
261.230,47.1774
261.590,45.8200
261.951,45.5103
262.311,45.0912
262.671,45.2246
263.032,44.3386
263.392,45.0764
263.752,43.6252
264.113,43.5127
264.473,43.2386
264.833,43.6408
265.194,45.1246
265.554,44.2513
265.914,45.1877
266.275,46.1781
266.635,46.5441
266.995,49.1071
267.356,50.1049
267.716,51.4115
268.076,51.7562
268.436,51.4332
268.797,51.8641
269.157,52.0583
269.517,51.5890
269.878,51.5823
270.238,49.4511
270.598,49.8858
270.959,51.4355
271.319,51.2861
271.679,50.9982
272.040,51.5807
272.400,50.7327
272.760,50.7813
273.121,50.7708
273.481,50.3793
273.841,49.7429
274.202,50.0908
274.562,50.2029
274.922,50.9614
275.283,50.3175
275.643,49.4580
276.003,50.1432
276.363,49.6360
276.724,50.5220
277.084,50.5521
277.444,53.1442
277.805,51.7508
278.165,50.4641
278.525,49.4917
278.886,49.3637
279.246,48.8474
279.606,47.9662
279.967,46.9150
280.327,44.7732
280.687,45.5588
281.048,45.2966
281.408,44.8441
281.768,43.8269
282.129,42.5530
282.489,44.2195
282.849,43.7643
283.210,44.7369
283.570,46.1639
283.930,47.5550
284.290,47.4340
284.651,48.5877
285.011,48.3472
285.371,49.3865
285.732,48.1055
286.092,48.8917
286.452,49.2094
286.813,48.9521
287.173,50.2357
287.533,49.9034
287.894,50.0509
288.254,49.6253
288.614,49.9186
288.975,49.6963
289.335,47.5308
289.695,48.6358
290.056,49.7455
290.416,49.3064
290.776,48.8839
291.137,49.5195
291.497,49.2913
291.857,48.4830
292.217,48.3511
292.578,48.2006
292.938,49.2176
293.298,47.7627
293.659,48.0358
294.019,48.2958
294.379,49.5390
294.740,49.2562
295.100,49.6633
295.460,49.3813
295.821,49.8161
296.181,49.2998
296.541,50.3955
296.902,51.6527
297.262,50.6240
297.622,50.9686
297.983,50.9935
298.343,50.0849
298.703,49.3324
299.064,49.2540
299.424,47.7832
299.784,47.6021
300.144,48.0825
300.505,48.3354
300.865,48.7561
