Distance_(microns),Gray_Value
169.349,45.3552
169.710,46.8625
170.070,46.0734
170.430,44.5927
170.790,43.2670
171.151,42.6554
171.511,41.2064
171.871,43.0958
172.232,43.6111
172.592,43.9225
172.952,44.6437
173.313,44.5119
173.673,45.2429
174.033,45.3950
174.394,44.2029
174.754,42.5303
175.114,43.8390
175.475,44.4129
175.835,44.6937
176.195,44.5881
176.556,45.2651
176.916,45.4596
177.276,47.0351
177.637,46.3255
177.997,47.1133
178.357,46.4779
178.717,43.2044
179.078,45.2374
179.438,46.0839
179.798,44.0674
180.159,45.0815
180.519,44.3112
180.879,45.5758
181.240,46.4234
181.600,46.7768
181.960,49.6649
182.321,46.2397
182.681,45.1023
183.041,44.8221
183.402,45.2208
183.762,46.2760
184.122,46.6421
184.483,44.3543
184.843,43.9541
185.203,43.8867
185.563,45.4722
185.924,47.3017
186.284,45.6481
186.644,45.1234
187.005,45.5380
187.365,46.0442
187.725,46.0770
188.086,47.4469
188.446,49.3578
188.806,50.9573
189.167,49.1996
189.527,48.2854
189.887,47.4214
190.248,49.4984
190.608,48.7114
190.968,47.4654
191.329,48.4062
191.689,47.6957
192.049,48.6590
192.410,47.1311
192.770,46.8251
193.130,47.6276
193.490,47.0702
193.851,48.3007
194.211,51.4839
194.571,48.0942
194.932,47.3715
195.292,47.3569
195.652,44.5308
196.013,48.7492
196.373,47.6298
196.733,45.4596
197.094,45.4303
197.454,44.2454
197.814,40.9724
198.175,42.5836
198.535,43.4543
198.895,44.0177
199.256,41.1207
199.616,40.4493
199.976,41.9500
200.337,42.7428
200.697,43.2088
201.057,43.0962
201.417,43.3650
201.778,43.4458
202.138,43.1933
202.498,44.9073
202.859,44.8823
203.219,43.0381
203.579,42.2321
203.940,43.1929
204.300,45.1763
204.660,45.0751
205.021,44.6779
205.381,43.6627
205.741,43.5434
206.102,42.7850
206.462,41.7582
206.822,42.9725
207.183,45.1699
207.543,43.8999
207.903,41.9600
208.263,43.3417
208.624,43.1481
